year,pct,ser_num,datestop,timestop,recstat,inout,trhsloc,perobs,crimsusp,perstop,typeofid,explnstp,othpers,arstmade,arstoffn,sumissue,sumoffen,compyear,comppct,offunif,officrid,frisked,searched,contrabn,adtlrept,pistol,riflshot,asltweap,knifcuti,machgun,othrweap,pf_hands,pf_wall,pf_grnd,pf_drwep,pf_ptwep,pf_baton,pf_hcuff,pf_pepsp,pf_other,radio,ac_rept,ac_inves,rf_vcrim,rf_othsw,ac_proxm,rf_attir,cs_objcs,cs_descr,cs_casng,cs_lkout,rf_vcact,cs_cloth,cs_drgtr,ac_evasv,ac_assoc,cs_furtv,rf_rfcmp,ac_cgdir,rf_verbl,cs_vcrim,cs_bulge,cs_other,ac_incid,ac_time,rf_knowl,ac_stsnd,ac_other,sb_hdobj,sb_outln,sb_admis,sb_other,repcmd,revcmd,rf_furt,rf_bulg,offverb,offshld,forceuse,sex,race,dob,age,ht_feet,ht_inch,weight,haircolr,eyecolor,build,othfeatr,addrtyp,rescode,premtype,premname,addrnum,stname,stinter,crossst,aptnum,city,state,zip,addrpct,sector,beat,post,xcoord,ycoord,dettypCM,lineCM,detailCM,lat1,lng1,lat2,lng2,full_addr1,full_addr2
2015,40,178,3252015,2350,1,I,H,1,MISD,15,P,Y,N,N, ,N, ,0,0,Y, ,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,807,807,N,N, , , ,M,Q, ,56,5,8,190,BK,BR,H, ,L, , ,NYCHA PUB. HOUSING,325,EAST 143 STREET,3 AVENUE,MORRIS AVENUE, ,BRONX, , ,40,I,9, ,1005525,235726,CM,1,31,40.8136735,-73.9228615,,,"325 E 143rd St, Bronx, NY 10451, USA",
2015,40,564,8052015,2030,1,O,H,2,CPW,2,V,Y,N,N, ,N, ,0,0,Y, ,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,N,N,807,807,N,Y, , , ,M,B, ,16,5,6,140,BK,BR,T, ,L, , ,STREET,325,EAST 143 STREET,3 AVENUE,MORRIS AVENUE, ,BRONX, , ,40,I,9, ,1005525,235726,CM,1,20,40.8136735,-73.9228615,,,"325 E 143rd St, Bronx, NY 10451, USA",
2015,40,574,8102015,200,1,I,H,2,CPW,5,P,Y,N,Y,CPW,N, ,0,0,Y, ,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,807,807,N,N, , ,OT,M,B, ,23,5,7,175,BK,BR,M, ,L, , ,HALLWAY,325,EAST 143 STREET,3 AVENUE,MORRIS AVENUE, ,BRONX, , ,40,I,9, ,1005525,235726,CM,1,20,40.8136735,-73.9228615,,,"325 E 143rd St, Bronx, NY 10451, USA",
2015,40,575,8102015,200,1,I,H,2,CPW,5,O,Y,N,Y,CPW,N, ,0,0,Y, ,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,807,807,N,N, , ,OT,M,B, ,14,5,10,155,BK,BR,T, ,L, , ,HALLWAY,325,EAST 143 STREET,3 AVENUE,MORRIS AVENUE, ,BRONX, , ,40,I,9, ,1005525,235726,CM,1,20,40.8136735,-73.9228615,,,"325 E 143rd St, Bronx, NY 10451, USA",
2015,40,675,8272015,25,1,O,H,1,CPW,2,V,Y,N,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,807,807,N,N, , , ,M,B, ,24,5,10,170,BK,BR,T, ,L, , ,COURT YARD,325,EAST 143 STREET,3 AVENUE,MORRIS AVENUE, ,BRONX, , ,40,I,9, ,1005525,235726,CM,1,20,40.8136735,-73.9228615,,,"325 E 143rd St, Bronx, NY 10451, USA",
2015,40,389,6072015,415,1,O,H,1,CRIMINAL POSSESSION OF WEAPON,5,P,Y,Y,N, ,Y,UPM,0,0,Y, ,Y,Y,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,Y,807,807,N,N, , ,DS,F,P, ,25,5,3,175,BK,BR,H, ,L, , ,SIDEWALK,325,EAST 156 STREET,COURTLANDT AVENUE,PARK AVENUE, ,BRONX, , ,40,G,1, ,1006866,238587,CM,1,20,40.8214736,-73.9180481,,,"325 E 156th St, Bronx, NY 10451, USA",
2015,40,390,6072015,415,1,O,H,1,CRIMINAL POSSESSION OF WEAPON,5,P,Y,Y,Y,CPW,N, ,0,0,Y, ,Y,Y,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,Y,807,807,N,N, , , ,M,B, ,22,5,8,160,BK,BR,T, ,L, , ,SIDEWALK,325,EAST 156 STREET,COURTLANDT AVENUE,PARK AVENUE, ,BRONX, , ,40,G,1, ,1006866,238587,CM,1,20,40.8214736,-73.9180481,,,"325 E 156th St, Bronx, NY 10451, USA",
2015,70,509,10042015,258,1,I,P,2,MIS/CPW,15,P,Y,Y,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,70,70,N,N, , , ,M,B, ,17,5,10,220,BK,BR,M, ,L, , ,RESIDENTIAL,325,EAST 17 STREET,CORTELYOU ROAD,BEVERLEY ROAD, ,BROOKLYN, , ,70,I, , ,994566,173545,CM,1,20,40.642862,-73.96247,,,"325 E 17th St, Brooklyn, NY 11226, USA",
2015,70,508,10042015,258,1,O,P,1,FELONY/GLA,38,V,Y,Y,N, ,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,70,70,Y,N, , , ,M,B, ,22,6,3,170,BK,BR,M, ,L, , ,STREET,325,EAST 17 STREET,CORTELYOU ROAD,BEVERLEY ROAD, ,BROOKLYN, , ,70,I, , ,994566,173545,CM,1,46,40.642862,-73.96247,,,"325 E 17th St, Brooklyn, NY 11226, USA",
2015,52,163,9302015,1645,1,I,P,1,FELONY,36,V,Y,N,Y,GRAND LARCENY,N, ,0,0,Y, ,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,Y,N,N,Y,Y,N,N,N,N,Y,N,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,N,52,52,Y,N, , ,SF,M,B, ,18,6,1,165,BK,BR,M, ,L, , ,BUSINESS,325,EAST KINGSBRIDGE ROAD,BAINBRIDGE AVENUE,BRIGGS AVENUE, ,BRONX, , ,52,G, ,10,1013641,253380,CM,1,45,40.8623492,-73.89367659999999,,,"325 E Kingsbridge Rd, Bronx, NY 10458, USA",
