datestop,arstmade,frisked,searched,addrnum,stname,stinter,crossst
10212015,Y,Y,Y, , ,38 AVENUE,114 STREET
8142015,Y,Y,N,***,SIMPSON STREET,EAST 167 STREET,WESTCHESTER AVENUE
1022015,N,Y,N, , ,SHAKESPEARE AVENUE,WEST 172 STREET
1022015,N,Y,Y, , ,EAST 176 STREET,CLAY AVENUE
1062015,Y,Y,Y,800,SOUND VIEW AVENUE,ROSEDALE AVENUE,LAFAYETTE AVENUE
1172015,Y,Y,N,301,WEST 260 STREET,FIELDSTON ROAD,SPENCER AVENUE
1202015,Y,N,Y,2120,RANDALL AVENUE,CASTLE HILL AVENUE,OLMSTEAD AVENUE
1202015,N,Y,N, , ,TINTON AVENUE,EAST 163 STREET
1212015,Y,Y,Y,635,CASTLE HILL AVENUE,SEWARD AVENUE,RANDALL AVENUE
1212015,Y,N,Y,1460,BRONX RIVER AVENUE,EAST 177 STREET,EAST 174 STREET
1212015,Y,N,Y,1460,BRONX RIVER AVENUE,EAST 177 STREET,EAST 174 STREET
1222015,Y,Y,Y,2160,SEWARD AVENUE,CASTLE HILL AVENUE,OLMSTEAD AVENUE
1222015,Y,Y,Y,1372,OGDEN AVENUE,UNIVERSITY AVENUE,WEST 170 STREET
1232015,N,Y,N,69,FEATHERBED LANE,NELSON AVENUE,MACOMBS ROAD
1242015,Y,Y,N,785,COURTLANDT AVENUE,EAST 158 STREET,EAST 157 STREET
1242015,N,Y,N, , ,EAST 170 STREET,CLAY AVENUE
1242015,N,Y,N,1455,HARROD AVENUE,BRONX RIVER AVENUE,EAST 174 STREET
1272015,N,Y,N, , ,EAST 170 STREET,MORRIS AVENUE
1292015,Y,N,Y,1720,WATSON AVENUE,ROSEDALE AVENUE,CROES AVENUE
1292015,N,N,N,501,BRUCKNER BOULEVARD,AUSTIN PLACE,EAST 149 STREET
1292015,N,Y,N, , ,EAST 166 STREET,FINDLAY AVENUE
1302015,N,Y,N, , ,SOUTHERN BOULEVARD,EAST 163 STREET
1302015,N,Y,N, , ,SOUTHERN BOULEVARD,EAST 163 STREET
1302015,N,N,N, , ,FOREST AVENUE,EAST 166 STREET
1302015,N,Y,Y, , ,HUNTS POINT AVENUE,BRUCKNER BOULEVARD
1312015,N,N,N, , , , 
1312015,Y,Y,Y,1100,TELLER AVENUE,EAST 167 STREET,EAST 166 STREET
2042015,N,N,N, , ,SHAKESPEARE AVENUE,GRANT HIGHWAY
2052015,N,Y,Y, , ,OGDEN AVENUE,WEST 170 STREET
2062015,Y,Y,N, , ,LEGGETT AVENUE,FOX STREET
2062015,Y,Y,N, , ,LEGGETT AVENUE,FOX STREET
2072015,Y,Y,Y, , ,3 AVENUE,EAST 161 STREET
2072015,N,Y,N,125,WEST 165 STREET,OGDEN AVENUE,NELSON AVENUE
2082015,N,Y,N,1142,COLLEGE AVENUE,EAST 167 STREET,EAST 166 STREET
2102015,Y,Y,Y,3565,BOSTON ROAD,TIEMANN AVENUE,KINGSLAND AVENUE
2122015,N,Y,N,1831,HOBART AVENUE,SAINT THERESA AVENUE,WESTCHESTER AVENUE
2132015,N,Y,N, , ,WESTCHESTER AVENUE,SIMPSON STREET
2142015,Y,Y,Y,530,EAST 137 STREET,SAINT ANNS AVENUE,BROOK AVENUE
2142015,N,Y,N,321,EAST 153 STREET,COURTLANDT AVENUE,MORRIS AVENUE
2152015,N,Y,N, , ,BROOK AVENUE,EAST 141 STREET
2152015,Y,N,Y,1595,EAST 174 STREET,HARROD AVENUE,MANOR AVENUE
2162015,Y,Y,N,3050,PARK AVENUE,EAST 157 STREET,EAST 156 STREET
2172015,Y,N,Y,321,EAST 153 STREET,COURTLANDT AVENUE,MORRIS AVENUE
2202015,Y,Y,N,320,EAST 156 STREET,COURTLANDT AVENUE,PARK AVENUE
2202015,N,Y,N,869,STEBBINS AVENUE,WESTCHESTER AVENUE,DAWSON STREET
2202015,N,Y,N,868,STEBBINS AVENUE,EAST 163 STREET,DAWSON STREET
2212015,Y,Y,Y,308,EAST 145 STREET,3 AVENUE,COLLEGE AVENUE
2212015,Y,Y,Y,320,EAST 156 STREET,COURTLANDT AVENUE,PARK AVENUE
2242015,N,N,Y,709,EAST 175 STREET,CLINTON AVENUE,CROTONA AVENUE
2252015,N,Y,N, , ,EAST 241 STREET,WHITE PLAINS ROAD
2272015,Y,Y,N,825,GERARD AVENUE,EAST 158 STREET,EAST 157 STREET
2282015,Y,Y,N,1020,SOUND VIEW AVENUE,WATSON AVENUE,BRUCKNER BOULEVARD
3012015,N,Y,N, , ,EAST 241 STREET,HILL AVENUE
3022015,N,Y,N, , ,WALTON AVENUE,ELLIOT PLACE
3032015,Y,Y,Y, , ,JEROME AVENUE,WEST 165 STREET
3062015,Y,Y,N,281,EAST 153 STREET,COURTLANDT AVENUE,MORRIS AVENUE
3102015,Y,N,N,751,EAST 161 STREET,TINTON AVENUE,FOREST AVENUE
3112015,Y,N,Y, , ,ASTOR AVENUE,WALLACE AVENUE
3112015,Y,N,Y, , ,ASTOR AVENUE,WALLACE AVENUE
3112015,Y,N,N,355,EAST 143 STREET,WILLIS AVENUE,MOTT HAVEN PROJECT
3122015,Y,N,Y,980,TRINITY AVENUE,EAST 165 STREET,EAST 163 STREET
3132015,N,N,N, , ,SOUTHERN BOULEVARD,EAST 163 STREET
3142015,N,Y,N,815,EAST 152 STREET,UNION AVENUE,TINTON AVENUE
3142015,Y,Y,Y,1348,WEBSTER AVENUE,EAST 170 STREET,EAST 169 STREET
3142015,Y,N,N,1458,WEBSTER AVENUE,EAST 171 STREET,EAST 170 STREET
3152015,N,N,N,175,WILLIS AVENUE,EAST 136 STREET,EAST 135 STREET
3162015,N,Y,N,530,EAST 137 STREET,SAINT ANNS AVENUE,BROOK AVENUE
3162015,N,Y,N, , ,BARNES AVENUE,EAST 214 STREET
3162015,N,Y,N, , ,BARNES AVENUE,EAST 214 STREET
3182015,N,N,N, , ,BARNES AVENUE,EAST 226 STREET
3192015,Y,Y,Y,346,EAST 156 STREET,COURTLANDT AVENUE,PARK AVENUE
3202015,N,Y,N,350,EAST 143 STREET,WILLIS AVENUE,ALEXANDER AVENUE
3212015,Y,N,Y,360,EAST 137 STREET,DEAD END,ALEXANDER AVENUE
3222015,Y,Y,Y,340,ALEXANDER AVENUE,EAST 142 STREET,EAST 141 STREET
3222015,Y,Y,N,300,EAST 158 STREET,COURTLANDT AVENUE,PARK AVENUE
3222015,Y,Y,N,300,EAST 138 STREET,ALEXANDER AVENUE,LINCOLN AVENUE
3252015,N,N,N,2595,3 AVENUE,EAST 143 STREET,MORRIS AVENUE
3252015,N,N,N,2595,3 AVENUE,EAST 143 STREET,MORRIS AVENUE
3272015,Y,Y,Y,765,COURTLANDT AVENUE,EAST 157 STREET,EAST 156 STREET
3282015,Y,Y,N,2829,WHITE PLAINS ROAD,ARNOW AVENUE,BRITTON STREET
3292015,Y,N,N,3673,PARK AVENUE,EAST 170 STREET,EAST 169 STREET
3292015,Y,N,N,3673,PARK AVENUE,EAST 170 STREET,EAST 169 STREET
4012015,N,Y,N, , ,EAST 148 STREET,MORRIS AVENUE
4032015,N,Y,N,520,EAST 137 STREET,SAINT ANNS AVENUE,BROOK AVENUE
4042015,N,N,N, , ,ASTOR AVENUE,WALLACE AVENUE
4042015,N,Y,N,2081,MORRIS AVENUE,EAST 181 STREET,EAST BURNSIDE AVENUE
4042015,N,Y,N,2081,MORRIS AVENUE,EAST 181 STREET,EAST BURNSIDE AVENUE
4042015,N,Y,N,2081,MORRIS AVENUE,EAST 181 STREET,EAST BURNSIDE AVENUE
4042015,N,Y,N,2081,MORRIS AVENUE,EAST 181 STREET,EAST BURNSIDE AVENUE
4042015,N,Y,N, , ,SCHIEFELIN AVENUE,EAST 225 STREET
4052015,Y,N,N,1165,EAST 226 DRIVE,SCHIEFELIN AVENUE,EAST 225 STREET
4052015,Y,Y,N,916,PROSPECT AVENUE,EAST 163 STREET,EAST 162 STREET
4062015,N,Y,N, , ,SAINT ANNS AVENUE,EAST 143 STREET
4122015,N,Y,N,164,SAINT ANNS AVENUE,EAST 136 STREET,EAST 135 STREET
4132015,Y,N,N,1810,WATSON AVENUE,THIERIOT AVENUE,BEACH AVENUE
4132015,Y,N,N,1810,WATSON AVENUE,THIERIOT AVENUE,BEACH AVENUE
4132015,Y,N,Y,1160,GRENADA PLACE,BAYCHESTER AVENUE,LACONIA AVENUE
4132015,Y,N,Y,1160,GRENADA PLACE,BAYCHESTER AVENUE,LACONIA AVENUE
4132015,Y,N,Y,1160,GRENADA PLACE,BAYCHESTER AVENUE,LACONIA AVENUE
4142015,N,Y,N,1175,EAST 229 STREET,SCHIEFELIN AVENUE,LACONIA AVENUE
4152015,Y,N,N,1998,BRUCKNER BOULEVARD,PUGSLEY AVENUE,VIRGINIA AVENUE
4152015,Y,Y,N,2615,3 AVENUE,EAST 143 STREET,MORRIS AVENUE
4152015,Y,Y,N,2615,3 AVENUE,EAST 143 STREET,MORRIS AVENUE
4152015,Y,Y,N,1147,EAST 229 DRIVE NORTH,EDENWALD HOUSES,EAST 229 STREET
4152015,Y,Y,N,1147,EAST 229 DRIVE NORTH,EDENWALD HOUSES,EAST 229 STREET
4172015,Y,Y,Y, , ,TRATMAN AVENUE,OVERING STREET
4172015,N,Y,Y,2131,BRYANT AVENUE,BRONX PARK SOUTH,EAST 181 STREET
4172015,N,Y,Y,2131,BRYANT AVENUE,BRONX PARK SOUTH,EAST 181 STREET
4172015,N,Y,N, , ,CLAY AVENUE,EAST 165 STREET
4172015,Y,N,Y,1165,EAST 226 DRIVE,SCHIEFELIN AVENUE,EAST 225 STREET
4182015,N,N,N,931,WESTCHESTER AVENUE,INTERVALE AVENUE,ROGERS PLACE
4192015,N,N,N, , ,WHITE PLAINS ROAD,EAST 241 STREET
4192015,Y,Y,N,1173,EAST 229 DRIVE NORTH,EDENWALD HOUSES,EAST 229 STREET
4222015,N,Y,N, , ,SENECA AVENUE,HUNTS POINT AVENUE
4232015,N,Y,N,845,LONGFELLOW AVENUE,SENECA AVENUE,LAFAYETTE AVENUE
4242015,N,N,N, , ,RIVERDALE AVENUE,JOHNSON AVENUE
4252015,N,Y,N, , ,BARNES AVENUE,EAST 215 STREET
4262015,Y,Y,Y, , ,EAST 134 STREET,LINCOLN AVENUE
4282015,N,Y,N,1039,SOUTHERN BOULEVARD,WESTCHESTER AVENUE,EAST 163 STREET
4282015,Y,Y,Y,270,EAST BURNSIDE AVENUE,RYER AVENUE,ANTHONY AVENUE
4282015,Y,N,N,1147,EAST 229 DRIVE NORTH,EDENWALD HOUSES,EAST 229 STREET
4292015,Y,Y,Y,350,EAST 137 STREET,DEAD END,ALEXANDER AVENUE
4302015,N,Y,N,216,EAST 167 STREET,SHERMAN AVENUE,SHERIDAN AVENUE
5022015,N,Y,N, , ,ANDERSON AVENUE,EAST 164 STREET
5032015,N,Y,N, , ,HOLLAND AVENUE,EAST 215 STREET
5032015,Y,N,Y,3845,BAYCHESTER AVENUE,GRENADA PLACE,SCHIEFELIN AVENUE
5042015,Y,Y,Y,1760,WATSON AVENUE,BEACH AVENUE,ROSEDALE AVENUE
5042015,Y,Y,Y,1760,WATSON AVENUE,BEACH AVENUE,ROSEDALE AVENUE
5052015,Y,Y,N,932,HOE AVENUE,ALDUS STREET,BRUCKNER BOULEVARD
5052015,N,Y,N, , ,EAST 174 STREET,WEEKS AVENUE
5052015,N,Y,N, , ,BRONXWOOD AVENUE,EAST 216 STREET
5092015,Y,Y,Y,700,EAST 156 STREET,FOREST AVENUE,SAINT MARYS PARK
5092015,Y,Y,Y,700,EAST 156 STREET,FOREST AVENUE,SAINT MARYS PARK
5132015,N,Y,N,380,EAST 143 STREET,WILLIS AVENUE,ALEXANDER AVENUE
5162015,N,Y,N, , ,BURKE AVENUE,HOLLAND AVENUE
5162015,Y,Y,Y,1183,EAST 226 DRIVE,SCHIEFELIN AVENUE,EAST 225 STREET
5172015,N,Y,N, , ,HOE AVENUE,EAST 174 STREET
5172015,Y,Y,Y, , ,EAST 167 STREET,COLLEGE AVENUE
5182015,N,Y,N, , ,MORRIS AVENUE,EAST 170 STREET
5182015,N,Y,N, , ,SHERIDAN AVENUE,MARCY PLACE
5202015,Y,Y,Y, , ,CROTONA PARK NORTH,CROTONA AVENUE
5212015,Y,N,Y,1350,WASHINGTON AVENUE,EAST 170 STREET,EAST 169 STREET
5212015,Y,N,Y,1350,WASHINGTON AVENUE,EAST 170 STREET,EAST 169 STREET
5232015,N,N,N,165,SAINT ANNS AVENUE,EAST 137 STREET,EAST 135 STREET
5232015,Y,Y,N,1107,EAST 229 STREET,SCHIEFELIN AVENUE,LACONIA AVENUE
5262015,N,Y,N,765,COURTLANDT AVENUE,EAST 157 STREET,EAST 156 STREET
5272015,Y,Y,Y,1725,BRUCKNER BOULEVARD,ROSEDALE AVENUE,SOUND VIEW AVENUE
5292015,Y,Y,Y,1720,WATSON AVENUE,ROSEDALE AVENUE,CROES AVENUE
5302015,N,Y,N, , ,WILLIS AVENUE,EAST 138 STREET
5312015,N,N,N, , ,WHITE PLAINS ROAD,EAST 227 STREET
5312015,Y,Y,Y, , ,CLAREMONT PARKWAY,WEBSTER AVENUE
5312015,Y,Y,Y, , ,CLAREMONT PARKWAY,WEBSTER AVENUE
5312015,Y,Y,Y,905,TINTON AVENUE,EAST 163 STREET,EAST 161 STREET
6012015,Y,Y,Y,1965,SCHIEFELIN AVENUE,BAYCHESTER AVENUE,EAST 229 STREET
6022015,N,Y,Y, , ,GUERLAIN STREET,TAYLOR AVENUE
6022015,N,Y,Y,666,EAST 224 STREET,WHITE PLAINS ROAD,CARPENTER AVENUE
6052015,N,N,N, , ,INDEPENDENCE AVENUE,WEST 236 STREET
6052015,N,N,N, , ,INDEPENDENCE AVENUE,WEST 236 STREET
6062015,Y,Y,N,765,COURTLANDT AVENUE,EAST 157 STREET,EAST 156 STREET
6062015,Y,Y,Y,300,EAST 158 STREET,COURTLANDT AVENUE,PARK AVENUE
6072015,N,N,N,1710,RANDALL AVENUE,ROSEDALE AVENUE,BRONX RIVER AVENUE
6072015,Y,Y,Y,1720,WATSON AVENUE,ROSEDALE AVENUE,CROES AVENUE
6072015,N,Y,Y, , ,HOFFMAN STREET,EAST 184 STREET
6112015,Y,Y,Y,1175,EAST 225 STREET,SCHIEFELIN AVENUE,LACONIA AVENUE
6122015,N,Y,N,2366,WESTCHESTER AVENUE,ZEREGA AVENUE,PARKER STREET
6122015,N,N,N,2366,WESTCHESTER AVENUE,ZEREGA AVENUE,PARKER STREET
6132015,N,N,N,915,EAST 179 STREET,DALY AVENUE,HONEYWELL AVENUE
6132015,N,N,N,915,EAST 179 STREET,DALY AVENUE,HONEYWELL AVENUE
6132015,N,N,N, , ,BAILEY AVENUE,WEST 234 STREET
6132015,N,N,N, , ,BAILEY AVENUE,WEST 234 STREET
6132015,Y,Y,N,1325,FRANKLIN AVENUE,EAST 170 STREET,EAST 169 STREET
6132015,Y,Y,Y,1325,FRANKLIN AVENUE,EAST 170 STREET,EAST 169 STREET
6132015,Y,Y,Y,1325,FRANKLIN AVENUE,EAST 170 STREET,EAST 169 STREET
6142015,N,N,N, , ,EAST 224 STREET,WHITE PLAINS ROAD
6152015,N,Y,Y, , ,TAYLOR AVENUE,ARCHER STREET
6152015,Y,N,N,1725,BRUCKNER BOULEVARD,ROSEDALE AVENUE,SOUND VIEW AVENUE
6172015,Y,Y,Y,1115,EAST 225 STREET,SCHIEFELIN AVENUE,LACONIA AVENUE
6182015,N,Y,N,3050,PARK AVENUE,EAST 157 STREET,EAST 156 STREET
6182015,N,Y,N, , ,COURTLANDT AVENUE,EAST 148 STREET
6182015,Y,Y,Y,1121,EAST 225 STREET,SCHIEFELIN AVENUE,LACONIA AVENUE
6182015,Y,Y,Y,1121,EAST 225 STREET,SCHIEFELIN AVENUE,LACONIA AVENUE
6192015,Y,Y,N,681,COURTLANDT AVENUE,EAST 156 STREET,EAST 153 STREET
6192015,Y,Y,N,681,COURTLANDT AVENUE,EAST 156 STREET,EAST 153 STREET
6192015,N,Y,N, , ,BRONXWOOD AVENUE,EAST 221 STREET
6202015,Y,Y,Y, , ,BROOK AVENUE,EAST 135 STREET
6202015,Y,Y,Y, , ,BRONXWOOD AVENUE,EAST 218 STREET
6222015,N,N,N, , ,TRATMAN AVENUE,SAINT PETERS AVENUE
6232015,N,Y,N,314,EAST 143 STREET,3 AVENUE,MORRIS AVENUE
6232015,N,N,N,314,EAST 143 STREET,3 AVENUE,MORRIS AVENUE
6232015,Y,Y,Y,1125,EAST 229 STREET,SCHIEFELIN AVENUE,LACONIA AVENUE
6242015,N,N,N, , ,TRATMAN AVENUE,SAINT PETERS AVENUE
6242015,Y,N,N,1138,EAST 229 DRIVE SOUTH,EDENWALD HOUSES,EAST 229 STREET
6262015,N,N,N, , ,MORRIS AVENUE,EAST 153 STREET
6262015,Y,Y,Y, , ,SAINT ANNS AVENUE,EAST 146 STREET
6272015,N,N,N, , ,NEREID AVENUE,CARPENTER AVENUE
6272015,Y,Y,Y,1160,EAST 229 DRIVE SOUTH,EDENWALD HOUSES,EAST 229 STREET
6282015,Y,Y,Y,1780,WATSON AVENUE,BEACH AVENUE,ROSEDALE AVENUE
6292015,Y,Y,Y,1010,SOUND VIEW AVENUE,WATSON AVENUE,BRUCKNER BOULEVARD
6302015,Y,Y,Y, , ,ELLIOT PLACE,WALTON AVENUE
7012015,Y,N,N,***,BEACH AVENUE,WATSON AVENUE,BRUCKNER BOULEVARD
7022015,N,Y,N,***,WEBSTER AVENUE,EAST 171 STREET,EAST 170 STREET
7022015,Y,N,Y,560,BROOK AVENUE,WESTCHESTER AVENUE,EAST 150 STREET
7022015,Y,Y,Y,320,EAST 156 STREET,COURTLANDT AVENUE,PARK AVENUE
7022015,Y,Y,Y,320,EAST 156 STREET,COURTLANDT AVENUE,PARK AVENUE
7032015,N,Y,N, , ,BRIGGS AVENUE,EAST 197 STREET
7042015,Y,N,N,681,COURTLANDT AVENUE,EAST 156 STREET,EAST 153 STREET
7042015,Y,N,N,681,COURTLANDT AVENUE,EAST 156 STREET,EAST 153 STREET
7052015,Y,N,Y,***,BRUCKNER BOULEVARD,ROSEDALE AVENUE,SOUND VIEW AVENUE
7052015,N,Y,N,***,ANTHONY AVENUE,EAST TREMONT AVENUE,EAST 176 STREET
7062015,Y,Y,N,***,LACONIA AVENUE,EAST 229 STREET,EAST 225 STREET
7062015,Y,N,N,321,EAST 153 STREET,COURTLANDT AVENUE,MORRIS AVENUE
7062015,Y,Y,Y, , ,SAINT ANNS AVENUE,EAST 150 STREET
7092015,N,Y,N,***,BURKE AVENUE,BOUCK AVENUE,YATES AVENUE
7092015,N,Y,N, , ,EAST 168 STREET,GRAND CONCOURSE
7112015,N,Y,Y, , ,EAST TREMONT AVENUE,CARTER AVENUE
7112015,Y,Y,Y,***,GRAND CONCOURSE,MARCY PLACE,EAST 169 STREET
7132015,Y,Y,N, , ,NOBLE AVENUE,WATSON AVENUE
7132015,Y,Y,Y, , ,WHITE PLAINS ROAD,EAST GUN HILL ROAD
7142015,Y,Y,Y,***,SCHIEFELIN PLACE,EAST 229 STREET,EAST 225 STREET
7142015,Y,Y,Y,***,EAST 229 DRIVE NORTH,EDENWALD HOUSES,EAST 229 STREET
7172015,N,Y,N, , ,EAST 157 STREET,COURTLANDT AVENUE
7192015,N,Y,Y, , ,BOSTON POST ROAD,223 STREET
7202015,Y,N,Y,712,FOX STREET,EAST 156 STREET,LEGGETT AVENUE
7202015,Y,Y,Y,391,EAST 149 STREET,MELROSE AVENUE,COURTLANDT AVENUE
7212015,Y,N,Y,560,BROOK AVENUE,WESTCHESTER AVENUE,EAST 150 STREET
7242015,Y,Y,Y, ,EAST 146 STREET,SAINT ANNS AVENUE,DEAD END
7242015,Y,Y,Y,***,EAST 229 DRIVE SOUTH,EDENWALD HOUSES,EAST 229 STREET
7252015,N,Y,N, , ,CRUGER AVENUE,BURKE AVENUE
7262015,N,N,N, , ,BARNES AVENUE,PENFIELD STREET
7282015,Y,Y,Y,551,ROSEDALE AVENUE,RANDALL AVENUE,LACOMBE AVENUE
7292015,N,Y,N, , ,MORRIS AVENUE,EAST 149 STREET
7302015,N,N,N,665,ARNOW AVENUE,WHITE PLAINS ROAD,BRONX PARK EAST
7312015,Y,Y,Y, , ,UNION AVENUE,EAST 152 STREET
8022015,Y,Y,Y,***,TIEBOUT AVENUE,FOLIN STREET,EAST 180 STREET
8022015,N,Y,N, , ,STRATFORD AVENUE,WATSON AVENUE
8082015,Y,Y,Y,550,CAULDWELL AVENUE,WESTCHESTER AVENUE,EAST 149 STREET
8092015,Y,Y,Y,***,EAST 229 STREET,SCHIEFELIN AVENUE,LACONIA AVENUE
8092015,Y,Y,Y,304,EAST 156 STREET,COURTLANDT AVENUE,PARK AVENUE
8112015,Y,Y,N, ,EAST 149 STREET,BERGEN AVENUE,3 AVENUE
8122015,Y,Y,Y, ,SAINT ANNS AVENUE,EAST 150 STREET,EAST 149 STREET
8152015,Y,Y,Y, , ,3 AVENUE,EAST 141 STREET
8152015,N,N,N, , ,MUNDY LANE,CRANFORD AVENUE
8172015,Y,Y,Y, , ,LONGWOOD AVENUE,HEWITT PLACE
8222015,Y,Y,Y, , ,PROSPECT AVENUE,EAST 152 STREET
8222015,Y,Y,Y,737,WESTCHESTER AVENUE,EAST 156 STREET,FOREST AVENUE
8222015,Y,Y,Y, , ,IRVINE STREET,GARRISON AVENUE
8242015,Y,Y,Y,285,EAST 156 STREET,COURTLANDT AVENUE,PARK AVENUE
8252015,Y,N,Y,595,TRINITY AVENUE,WESTCHESTER AVENUE,EAST 149 STREET
8262015,Y,Y,Y,***,EAST GUN HILL ROAD,BOUCK AVENUE,THROOP AVENUE
8262015,Y,Y,Y,305,EAST 153 STREET,COURTLANDT AVENUE,MORRIS AVENUE
8262015,Y,Y,Y,305,EAST 153 STREET,COURTLANDT AVENUE,MORRIS AVENUE
8292015,N,N,N, , ,CARPENTER AVENUE,EAST 224 STREET
8312015,N,N,N, , ,CYPRESS AVENUE,EAST 137 STREET
9012015,N,N,N,681,COURTLANDT AVENUE,EAST 156 STREET,EAST 153 STREET
9012015,N,N,N,681,COURTLANDT AVENUE,EAST 156 STREET,EAST 153 STREET
9012015,Y,N,Y,975,TINTON AVENUE,EAST 165 STREET,EAST 163 STREET
9042015,Y,Y,N,***,MELVILLE STREET,VANNEST AVENUE,CONRAIL RAILROAD
9042015,Y,Y,Y,***,MELVILLE STREET,VANNEST AVENUE,CONRAIL RAILROAD
9052015,Y,Y,Y,975,TINTON AVENUE,EAST 165 STREET,EAST 163 STREET
9062015,Y,Y,Y,815,EAST 152 STREET,UNION AVENUE,TINTON AVENUE
9062015,Y,N,N,305,EAST 153 STREET,COURTLANDT AVENUE,MORRIS AVENUE
9082015,N,Y,N,***,HOE AVENUE,HOME STREET,EAST 167 STREET
9112015,Y, ,Y,PARK/PLAY AREA,815,EAST 152 STREET,UNION AVENUE
9132015,Y,Y,N, , ,EAST 163 STREET,EAST 162 STREET
9142015,Y,Y,Y,300,EAST 158 STREET,COURTLANDT AVENUE,PARK AVENUE
9152015,Y,Y,Y,***,WEBSTER AVENUE,EAST 171 STREET,EAST 170 STREET
9162015,Y,Y,Y,420,EAST 169 STREET,PARK AVENUE,BROOK AVENUE
9172015,N,Y,N,***,STRATFORD AVENUE,EAST 172 STREET,WESTCHESTER AVENUE
9192015,Y,Y,Y,340,ALEXANDER AVENUE,EAST 142 STREET,EAST 141 STREET
9192015,N,N,N, , ,TILLOTSON AVENUE,BAYCHESTER AVENUE
9192015,N,N,N,***,JEROME AVENUE,EAST BEDFORD PARK BOUL,EAST 199 STREET
9192015,N,N,N,***,JEROME AVENUE,EAST BEDFORD PARK BOUL,EAST 199 STREET
9202015,Y,Y,Y,712,FOX STREET,EAST 156 STREET,LEGGETT AVENUE
9202015,Y,N,Y,***,STORY AVENUE,TAYLOR AVENUE,ROSEDALE AVENUE
9202015,Y,Y,Y,***,WEBSTER AVENUE,EAST 170 STREET,EAST 169 STREET
9212015,N,Y,Y,***,BOYNTON AVENUE,WATSON AVENUE,BRUCKNER BOULEVARD
9222015,Y,Y,N,353,EAST 141 STREET,WILLIS AVENUE,ALEXANDER AVENUE
9232015,N,Y,N, , ,GLEASON AVENUE,CASTLE HILL AVENUE
9232015,Y,Y,Y,388,EAST 141 STREET,WILLIS AVENUE,MOTT HAVEN PROJECT
9252015,N,Y,N, , ,WESTCHESTER AVENUE,BOYNTON AVENUE
9262015,N,Y,N,***,GILBERT PLACE,FAILE STREET,HUNTS POINT AVENUE
9272015,N,Y,N,***,3 AVENUE,EAST 143 STREET,MORRIS AVENUE
9292015,N,N,N,720,WESTCHESTER AVENUE,TINTON AVENUE,WALES AVENUE
9292015,Y,Y,Y,720,WESTCHESTER AVENUE,TINTON AVENUE,WALES AVENUE
9292015,Y,Y,Y,720,WESTCHESTER AVENUE,TINTON AVENUE,WALES AVENUE
9302015,Y,Y,Y,350,EAST 143 STREET,WILLIS AVENUE,ALEXANDER AVENUE
10052015,Y,Y,Y,391,EAST 149 STREET,MELROSE AVENUE,COURTLANDT AVENUE
10062015,Y,Y,Y,735,EAST 165 STREET,TINTON AVENUE,TRINITY AVENUE
10062015,Y,Y,Y,735,EAST 165 STREET,TINTON AVENUE,TRINITY AVENUE
10072015,Y,Y,Y,383,EAST 141 STREET,WILLIS AVENUE,ALEXANDER AVENUE
10072015,N,Y,N,2693,MORRIS AVENUE,EAST 196 STREET,EAST KINGSBRIDGE ROAD
10102015,Y,Y,Y,1669,MACOMBS ROAD,NELSON AVENUE,WEST 174 STREET
10112015,Y,Y,Y,520,EAST 137 STREET,SAINT ANNS AVENUE,BROOK AVENUE
10112015,Y,Y,Y,350,EAST 143 STREET,WILLIS AVENUE,ALEXANDER AVENUE
10112015,Y,Y,Y,1965,SCHIEFELIN AVENUE,BAYCHESTER AVENUE,EAST 229 STREET
10122015,Y, ,Y,PUBLIC STREET, , ,SAINT JOHN AVENUE
10132015,N,N,N, , ,MORRISON AVENUE,WATSON AVENUE
10132015,Y,Y,Y,383,EAST 141 STREET,WILLIS AVENUE,ALEXANDER AVENUE
10142015,Y,Y,Y,451,BROOK AVENUE,EAST 146 STREET,EAST 145 STREET
10172015,Y,Y,Y, , ,MORRIS AVENUE,EAST 149 STREET
10182015,N,Y,N,2628,3 AVENUE,EAST 142 STREET,EAST 141 STREET
10182015,N,N,N,805,PELHAM PARKWAY NORTH,BRONXWOOD AVENUE,WALLACE AVENUE
10212015,N,Y,N,765,ALLERTON AVENUE,WALLACE AVENUE,HOLLAND AVENUE
10222015,N,N,N, , ,INTERSTATE ROUTE 95 WEST,HUTCHINSON RIVER PARKWAY
10232015,Y,Y,N, , ,EAST 138 STREET,PARK AVENUE
10232015,N,N,N,424,MORRIS AVENUE,PATTERSON PROJECT,EAST 143 STREET
10242015,Y,Y,Y,2100,BARTOW AVENUE,HUTCHINSON RIVER PARKWAY EAST,BAYCHESTER AVENUE
10252015,N,N,N,2595,3 AVENUE,EAST 143 STREET,MORRIS AVENUE
10282015,N,N,N, , ,GRAND AVENUE,WEST 180 STREET
10302015,Y,Y,Y,671,WESTCHESTER AVENUE,FOREST AVENUE,CAULDWELL AVENUE
11042015,N,Y,N,2505,OLINVILLE AVENUE,ALLERTON AVENUE,MACE AVENUE
11042015,N,Y,N,2505,OLINVILLE AVENUE,ALLERTON AVENUE,MACE AVENUE
11062015,Y,Y,Y, , ,NEEDHAM AVENUE,FISH AVENUE
11062015,Y,Y,Y,1151,EAST 229 STREET,SCHIEFELIN AVENUE,LACONIA AVENUE
11062015,N,N,N, , ,WATSON AVENUE,BOYNTON AVENUE
